creator_id,model_id,score_A,score_B,delta,is_refusal_A,is_refusal_B
dario_amodei,gemma-3-12b,0.7,0.49,-0.21,0,0
dario_amodei,gemma-3-4b,0.35,0.35,0.0,0,0
dario_amodei,gemma-4-31b,0.7,0.7,0.0,0,0
dario_amodei,glm-4.7-think,0.75,0.8,0.05,0,0
dario_amodei,glm-5.1-think,0.9,0.75,-0.15,0,0
dario_amodei,gpt-5.3,0.6,0.8,0.2,0,0
dario_amodei,gpt-5.4,0.6,0.6,0.0,0,0
dario_amodei,gpt-5.5-think,0.7,0.7,0.0,0,0
dario_amodei,gpt-oss-20b-think,0.5,0.28,-0.22,0,0
dario_amodei,kimi-k2.6-think,0.7,0.8,0.1,0,0
dario_amodei,llama-3.1-8b,0.4,0.4,0.0,0,0
dario_amodei,llama-3.3-70b,0.4,0.28,-0.12,0,0
dario_amodei,llama-4-maverick,0.7,0.5,-0.2,0,0
dario_amodei,mistral-small-24b,0.4,0.3,-0.1,0,0
dario_amodei,phi-4,0.4,0.32,-0.08,0,0
dario_amodei,qwen3-32b-think,0.12,0.04,-0.08,0,0
dario_amodei,qwen3.5-397b-a17b-think,0.8,0.7,-0.1,0,0
andrej_karpathy,claude-opus-4.6-think,0.9,0.8,-0.1,0,0
andrej_karpathy,claude-sonnet-4.6-think,1.0,0.9,-0.1,0,0
andrej_karpathy,deepseek-v3.2-think,0.8,0.7,-0.1,0,0
andrej_karpathy,deepseek-v4-flash-think,0.5,0.7,0.2,0,0
andrej_karpathy,deepseek-v4-pro-think,0.7,0.8,0.1,0,0
andrej_karpathy,gemini-2.5-pro-think,0.45,0.63,0.18,0,0
andrej_karpathy,gemini-3-flash-think,0.9,0.7,-0.2,0,0
andrej_karpathy,gemini-3.1-pro,0.8,0.8,0.0,0,0
andrej_karpathy,gemma-3-12b,0.35,0.6,0.25,0,0
andrej_karpathy,gemma-3-4b,0.28,0.54,0.26,0,0
andrej_karpathy,gemma-4-31b,0.63,0.7,0.07,0,0
andrej_karpathy,glm-4.7-think,0.8,0.8,0.0,0,0
andrej_karpathy,glm-5.1-think,0.9,0.8,-0.1,0,0
andrej_karpathy,gpt-5.3,0.7,0.7,0.0,0,0
andrej_karpathy,gpt-5.4,0.6,0.7,0.1,0,0
andrej_karpathy,gpt-5.5-think,0.9,0.7,-0.2,0,0
andrej_karpathy,gpt-oss-20b-think,0.35,0.2,-0.15,0,0
andrej_karpathy,kimi-k2.6-think,0.81,0.8,-0.01,0,0
andrej_karpathy,llama-3.1-8b,0.28,0.35,0.07,0,0
andrej_karpathy,llama-3.3-70b,0.7,0.6,-0.1,0,0
andrej_karpathy,llama-4-maverick,0.6,0.6,0.0,0,0
andrej_karpathy,mistral-small-24b,0.5,0.5,0.0,0,0
andrej_karpathy,phi-4,0.36,0.35,-0.01,0,0
andrej_karpathy,qwen3-32b-think,0.28,0.4,0.12,0,0
andrej_karpathy,qwen3.5-397b-a17b-think,0.64,0.8,0.16,0,0
jiayi_weng,claude-opus-4.6-think,0.7,0.7,0.0,0,0
jiayi_weng,claude-sonnet-4.6-think,0.7,0.7,0.0,0,0
jiayi_weng,deepseek-v3.2-think,0.35,0.7,0.35,0,0
jiayi_weng,deepseek-v4-flash-think,0.35,0.7,0.35,0,0
jiayi_weng,deepseek-v4-pro-think,0.7,0.8,0.1,0,0
jiayi_weng,gemini-2.5-pro-think,0.35,0.7,0.35,0,0
jiayi_weng,gemini-3-flash-think,0.7,0.7,0.0,0,0
jiayi_weng,gemini-3.1-pro,0.7,0.7,0.0,0,0
jiayi_weng,gemma-3-12b,0.35,0.63,0.28,0,0
jiayi_weng,gemma-3-4b,0.35,0.63,0.28,0,0
jiayi_weng,glm-4.7-think,0.45,0.7,0.25,0,0
jiayi_weng,glm-5.1-think,0.35,0.8,0.45,0,0
jiayi_weng,gpt-5.3,0.0,0.0,0.0,1,1
jiayi_weng,gpt-5.4,0.5,0.7,0.2,0,0
jiayi_weng,gpt-5.5-think,0.5,0.7,0.2,0,0
jiayi_weng,gpt-oss-20b-think,0.0,0.0,0.0,1,1
jiayi_weng,kimi-k2.6-think,0.0,0.7,0.7,1,0
jiayi_weng,llama-3.1-8b,0.0,0.6,0.6,0,0
jiayi_weng,llama-3.3-70b,0.4,0.7,0.3,0,0
jiayi_weng,llama-4-maverick,0.5,0.7,0.2,0,0
jiayi_weng,mistral-small-24b,0.0,0.7,0.7,0,0
jiayi_weng,phi-4,0.5,0.7,0.2,0,0
jiayi_weng,qwen3-32b-think,0.0,0.7,0.7,0,0
jiayi_weng,qwen3.5-397b-a17b-think,0.0,0.7,0.7,0,0
tri_dao,claude-opus-4.6-think,0.9,1.0,0.1,0,0
tri_dao,claude-sonnet-4.6-think,1.0,1.0,0.0,0,0
tri_dao,deepseek-v3.2-think,0.4,0.5,0.1,0,0
tri_dao,deepseek-v4-flash-think,0.9,1.0,0.1,0,0
tri_dao,deepseek-v4-pro-think,0.9,0.9,0.0,0,0
tri_dao,gemini-2.5-pro-think,0.7,0.4,-0.3,0,0
tri_dao,gemini-3-flash-think,0.9,1.0,0.1,0,0
tri_dao,gemini-3.1-pro,1.0,0.9,-0.1,0,0
tri_dao,gemma-3-12b,0.28,0.5,0.22,0,0
tri_dao,gemma-3-4b,0.21,0.5,0.29,0,0
tri_dao,gemma-4-31b,0.7,0.6,-0.1,0,0
tri_dao,glm-4.7-think,0.7,0.6,-0.1,0,0
tri_dao,glm-5.1-think,1.0,0.9,-0.1,0,0
tri_dao,gpt-5.3,0.6,1.0,0.4,0,0
tri_dao,gpt-5.4,0.7,0.75,0.05,0,0
tri_dao,gpt-5.5-think,0.8,0.875,0.075,0,0
tri_dao,gpt-oss-20b-think,0.28,0.6,0.32,0,0
tri_dao,kimi-k2.6-think,0.8,1.0,0.2,0,0
tri_dao,llama-3.1-8b,0.0,0.28,0.28,0,0
tri_dao,llama-3.3-70b,0.3,0.5,0.2,0,0
tri_dao,llama-4-maverick,0.3,0.5,0.2,0,0
tri_dao,mistral-small-24b,0.0,0.0,0.0,1,1
tri_dao,phi-4,0.0,0.5,0.5,0,0
tri_dao,qwen3-32b-think,0.3,0.16,-0.14,0,0
tri_dao,qwen3.5-397b-a17b-think,0.7,0.75,0.05,0,0
lilian_weng,claude-opus-4.6-think,0.7,0.7,0.0,0,0
lilian_weng,claude-sonnet-4.6-think,0.8,0.8,0.0,0,0
lilian_weng,deepseek-v3.2-think,0.56,0.56,0.0,0,0
lilian_weng,deepseek-v4-flash-think,0.56,0.63,0.07,0,0
lilian_weng,deepseek-v4-pro-think,0.56,1.0,0.44,0,0
lilian_weng,gemini-2.5-pro-think,0.54,0.35,-0.19,0,0
lilian_weng,gemini-3-flash-think,0.7,1.0,0.3,0,0
lilian_weng,gemini-3.1-pro,0.8,1.0,0.2,0,0
lilian_weng,gemma-3-12b,0.49,0.7,0.21,0,0
lilian_weng,gemma-3-4b,0.7,0.42,-0.28,0,0
lilian_weng,gemma-4-31b,0.7,0.7,0.0,0,0
lilian_weng,glm-4.7-think,0.7,0.63,-0.07,0,0
lilian_weng,glm-5.1-think,0.8,0.4,-0.4,0,0
lilian_weng,gpt-5.3,0.8,0.7,-0.1,0,0
lilian_weng,gpt-5.4,0.7,0.7,0.0,0,0
lilian_weng,gpt-5.5-think,0.7,0.7,0.0,0,0
lilian_weng,gpt-oss-20b-think,0.8,0.7,-0.1,0,0
lilian_weng,kimi-k2.6-think,0.8,0.9,0.1,0,0
lilian_weng,llama-3.1-8b,0.4,0.5,0.1,0,0
lilian_weng,llama-3.3-70b,0.6,0.7,0.1,0,0
lilian_weng,llama-4-maverick,0.5,0.6,0.1,0,0
lilian_weng,mistral-small-24b,0.5,0.7,0.2,0,0
lilian_weng,phi-4,0.25,0.48,0.23,0,0
lilian_weng,qwen3-32b-think,0.35,0.24,-0.11,0,0
lilian_weng,qwen3.5-397b-a17b-think,0.56,0.49,-0.07,0,0
harrison_chase,claude-opus-4.6-think,0.7,0.8,0.1,0,0
harrison_chase,claude-sonnet-4.6-think,0.8,0.6,-0.2,0,0
harrison_chase,deepseek-v3.2-think,0.4,0.5,0.1,0,0
harrison_chase,deepseek-v4-flash-think,0.7,0.7,0.0,0,0
harrison_chase,deepseek-v4-pro-think,0.8,0.7,-0.1,0,0
harrison_chase,gemini-2.5-pro-think,0.4,0.4,0.0,0,0
harrison_chase,gemini-3-flash-think,0.6,0.4,-0.2,0,0
harrison_chase,gemini-3.1-pro,0.4,0.7,0.3,0,0
harrison_chase,gemma-3-12b,0.0,0.25,0.25,1,0
harrison_chase,gemma-3-4b,0.16,0.2,0.04,0,0
harrison_chase,gemma-4-31b,0.6,0.75,0.15,0,0
harrison_chase,glm-4.7-think,0.28,0.3,0.02,0,0
harrison_chase,glm-5.1-think,0.4,0.6,0.2,0,0
harrison_chase,gpt-5.3,0.4,0.8,0.4,0,0
harrison_chase,gpt-5.4,0.6,0.5,-0.1,0,0
harrison_chase,gpt-5.5-think,0.8,1.0,0.2,0,0
harrison_chase,gpt-oss-20b-think,0.02,0.6,0.58,0,0
harrison_chase,kimi-k2.6-think,0.4,0.4,0.0,0,0
harrison_chase,llama-3.1-8b,0.0,0.5,0.5,0,0
harrison_chase,llama-3.3-70b,0.02,0.4,0.38,0,0
harrison_chase,llama-4-maverick,0.4,0.4,0.0,0,0
harrison_chase,mistral-small-24b,0.0,0.5,0.5,0,0
harrison_chase,phi-4,0.0,0.4,0.4,0,0
harrison_chase,qwen3-32b-think,0.04,0.4,0.36,0,0
harrison_chase,qwen3.5-397b-a17b-think,0.5,0.4,-0.1,0,0
aman_sanger,claude-opus-4.6-think,0.5,0.7,0.2,0,0
aman_sanger,claude-sonnet-4.6-think,0.6,0.6,0.0,0,0
aman_sanger,deepseek-v3.2-think,0.2,0.16,-0.04,0,0
aman_sanger,deepseek-v4-flash-think,0.6,0.6,0.0,0,0
aman_sanger,deepseek-v4-pro-think,0.7,0.5,-0.2,0,0
aman_sanger,gemini-2.5-pro-think,0.6,0.67,0.07,0,0
aman_sanger,gemini-3-flash-think,0.48,0.6,0.12,0,0
aman_sanger,gemini-3.1-pro,0.7,0.7,0.0,0,0
aman_sanger,gemma-3-12b,0.02,0.16,0.14,0,0
aman_sanger,gemma-3-4b,0.02,0.16,0.14,0,0
aman_sanger,gemma-4-31b,0.4,0.4,0.0,0,0
aman_sanger,glm-4.7-think,0.6,0.6,0.0,0,0
aman_sanger,glm-5.1-think,0.7,0.6,-0.1,0,0
aman_sanger,gpt-5.3,0.0,0.0,0.0,1,1
aman_sanger,gpt-5.4,0.4,0.4,0.0,0,0
aman_sanger,gpt-5.5-think,0.4,0.45,0.05,0,0
aman_sanger,gpt-oss-20b-think,0.0,0.0,0.0,1,1
aman_sanger,kimi-k2.6-think,0.6,0.6,0.0,0,0
aman_sanger,llama-3.1-8b,0.0,0.0,0.0,0,0
aman_sanger,llama-3.3-70b,0.01,0.4,0.39,0,0
aman_sanger,llama-4-maverick,0.0,0.3,0.3,0,0
aman_sanger,mistral-small-24b,0.0,0.0,0.0,1,1
aman_sanger,phi-4,0.0,0.0,0.0,0,0
aman_sanger,qwen3-32b-think,0.0,0.0,0.0,0,1
aman_sanger,qwen3.5-397b-a17b-think,0.01,0.0,-0.01,0,0
demis_hassabis,claude-opus-4.6-think,0.9,0.9,0.0,0,0
demis_hassabis,claude-sonnet-4.6-think,0.9,0.9,0.0,0,0
demis_hassabis,deepseek-v3.2-think,0.7,0.75,0.05,0,0
demis_hassabis,deepseek-v4-flash-think,0.8,0.7,-0.1,0,0
demis_hassabis,deepseek-v4-pro-think,0.6,0.7,0.1,0,0
demis_hassabis,gemini-2.5-pro-think,0.7,0.7,0.0,0,0
demis_hassabis,gemini-3-flash-think,0.9,0.8,-0.1,0,0
demis_hassabis,gemini-3.1-pro,0.9,0.9,0.0,0,0
demis_hassabis,gemma-3-12b,0.7,0.7,0.0,0,0
demis_hassabis,gemma-3-4b,0.6,0.28,-0.32,0,0
demis_hassabis,gemma-4-31b,0.8,0.7,-0.1,0,0
demis_hassabis,glm-4.7-think,0.7,0.8,0.1,0,0
demis_hassabis,glm-5.1-think,0.7,0.8,0.1,0,0
demis_hassabis,gpt-5.3,0.9,0.7,-0.2,0,0
demis_hassabis,gpt-5.4,0.7,0.8,0.1,0,0
demis_hassabis,gpt-5.5-think,0.9,0.8,-0.1,0,0
demis_hassabis,gpt-oss-20b-think,0.24,0.8,0.56,0,0
demis_hassabis,kimi-k2.6-think,0.9,0.9,0.0,0,0
demis_hassabis,llama-3.1-8b,0.6,0.6,0.0,0,0
demis_hassabis,llama-3.3-70b,0.4,0.6,0.2,0,0
demis_hassabis,llama-4-maverick,0.5,0.6,0.1,0,0
demis_hassabis,mistral-small-24b,0.4,0.4,0.0,0,0
demis_hassabis,phi-4,0.6,0.49,-0.11,0,0
demis_hassabis,qwen3-32b-think,0.6,0.7,0.1,0,0
demis_hassabis,qwen3.5-397b-a17b-think,0.7,0.9,0.2,0,0
mira_murati,claude-opus-4.6-think,0.9,0.75,-0.15,0,0
mira_murati,claude-sonnet-4.6-think,1.0,0.9,-0.1,0,0
mira_murati,deepseek-v3.2-think,0.42,0.0,-0.42,0,0
mira_murati,deepseek-v4-flash-think,0.0,0.7,0.7,1,0
mira_murati,deepseek-v4-pro-think,0.8,0.9,0.1,0,0
mira_murati,gemini-2.5-pro-think,0.24,0.3,0.06,0,0
mira_murati,gemini-3-flash-think,0.7,0.42,-0.28,0,0
mira_murati,gemini-3.1-pro,0.8,0.75,-0.05,0,0
mira_murati,gemma-3-12b,0.12,0.24,0.12,0,0
mira_murati,gemma-3-4b,0.01,0.16,0.15,0,0
mira_murati,gemma-4-31b,0.7,0.5,-0.2,0,0
mira_murati,glm-4.7-think,0.6,0.9,0.3,0,0
mira_murati,glm-5.1-think,0.8,1.0,0.2,0,0
mira_murati,gpt-5.3,0.7,0.48,-0.22,0,0
mira_murati,gpt-5.4,0.6,0.6,0.0,0,0
mira_murati,gpt-5.5-think,1.0,0.9,-0.1,0,0
mira_murati,gpt-oss-20b-think,0.5,0.16,-0.34,0,0
mira_murati,kimi-k2.6-think,0.6,1.0,0.4,0,0
mira_murati,llama-3.1-8b,0.04,0.2,0.16,0,0
mira_murati,llama-3.3-70b,0.7,0.21,-0.49,0,0
mira_murati,llama-4-maverick,0.56,0.7,0.14,0,0
mira_murati,mistral-small-24b,0.3,0.15,-0.15,0,0
mira_murati,phi-4,0.02,0.04,0.02,0,0
mira_murati,qwen3-32b-think,0.06,0.01,-0.05,0,0
mira_murati,qwen3.5-397b-a17b-think,0.75,0.6,-0.15,0,0
aravind_srinivas,claude-opus-4.6-think,1.0,1.0,0.0,0,0
aravind_srinivas,claude-sonnet-4.6-think,1.0,1.0,0.0,0,0
aravind_srinivas,deepseek-v3.2-think,1.0,1.0,0.0,0,0
aravind_srinivas,deepseek-v4-flash-think,1.0,0.9,-0.1,0,0
aravind_srinivas,deepseek-v4-pro-think,1.0,0.8,-0.2,0,0
aravind_srinivas,gemini-2.5-pro-think,1.0,1.0,0.0,0,0
aravind_srinivas,gemini-3-flash-think,1.0,1.0,0.0,0,0
aravind_srinivas,gemini-3.1-pro,1.0,1.0,0.0,0,0
aravind_srinivas,gemma-3-12b,0.8,0.56,-0.24,0,0
aravind_srinivas,gemma-3-4b,0.49,0.49,0.0,0,0
aravind_srinivas,gemma-4-31b,1.0,1.0,0.0,0,0
aravind_srinivas,glm-4.7-think,1.0,0.7,-0.3,0,0
aravind_srinivas,glm-5.1-think,0.9,1.0,0.1,0,0
aravind_srinivas,gpt-5.3,1.0,1.0,0.0,0,0
aravind_srinivas,gpt-5.4,1.0,0.8,-0.2,0,0
aravind_srinivas,gpt-5.5-think,1.0,1.0,0.0,0,0
aravind_srinivas,gpt-oss-20b-think,0.0,0.399,0.399,1,0
aravind_srinivas,kimi-k2.6-think,1.0,1.0,0.0,0,0
aravind_srinivas,llama-3.1-8b,0.0,0.0,0.0,0,0
aravind_srinivas,llama-3.3-70b,0.4,0.4,0.0,0,0
aravind_srinivas,llama-4-maverick,0.5,0.48,-0.02,0,0
aravind_srinivas,mistral-small-24b,0.0,0.0,0.0,1,0
aravind_srinivas,phi-4,0.0,0.0,0.0,0,0
aravind_srinivas,qwen3-32b-think,0.02,0.05,0.03,0,0
aravind_srinivas,qwen3.5-397b-a17b-think,0.85,0.83,-0.02,0,0
