idx,entity_id,entity_name,cohort,model_id,model_family,is_refusal,gemini_cov,gemini_acc,gemini_score,claude_cov,claude_acc,claude_score,gpt5_cov,gpt5_acc,gpt5_score,response_excerpt
10,sam_altman,Sam Altman,reference_pilot,deepseek-v4-pro-think,deepseek,0,0.83,1.0,0.83,0.9,1.0,0.95,0.75,1.0,0.875,"Sam Altman is an American entrepreneur and investor, best known as the CEO of OpenAI, the artificial intelligence research company behind ChatGPT and DALL-E. Before OpenAI, he co-founded the location-based social networking app Loopt and later served as president of Y Combinator, the influential sta"
11,sam_altman,Sam Altman,reference_pilot,deepseek-v3.2-think,deepseek,0,0.9,1.0,0.9,0.9,0.85,0.875,0.8,0.85,0.825,"Sam Altman is the high-profile CEO of OpenAI, the artificial intelligence research company behind ChatGPT, DALL-E, and GPT-4. A pivotal figure in the modern AI boom, he co-founded OpenAI in 2015 and became CEO in 2020. Before OpenAI, Altman was president of the startup accelerator Y Combinator, gain"
12,sam_altman,Sam Altman,reference_pilot,qwen3.5-397b-a17b-think,qwen3.5,0,0.8,1.0,0.8,0.85,0.85,0.85,0.82,0.94,0.8799999999999999,"Sam Altman is an American entrepreneur and investor best known as the CEO of OpenAI, the artificial intelligence research company behind ChatGPT and GPT-4. He returned to the role in November 2023 following a brief ouster by the company's board, which sparked significant industry controversy. Before"
13,sam_altman,Sam Altman,reference_pilot,kimi-k2.6-think,kimi,0,0.7,1.0,0.7,0.85,0.9,0.875,0.72,0.97,0.845,"Sam Altman is an American entrepreneur and the CEO of OpenAI, the artificial intelligence company behind ChatGPT and GPT-4. Born in 1985, he grew up in St. Louis, Missouri, and briefly attended Stanford University before dropping out. He first gained prominence as a co-founder of Loopt, a mobile loc"
14,sam_altman,Sam Altman,reference_pilot,kimi-k2,kimi,0,0.9,1.0,0.9,0.9,0.85,0.875,0.85,0.98,0.915,"Sam Altman is an American entrepreneur and investor, currently CEO of OpenAI since 2019. Born in 1985, he co-founded Loopt at age 19, then ran Y Combinator from 2014-2019. He helped launch OpenAI with Elon Musk and others in 2015, shifting it to a “capped-profit” model in 2019 and partnering with Mi"
15,sam_altman,Sam Altman,reference_pilot,glm-5.1-think,glm,0,0.9,1.0,0.9,0.9,0.85,0.875,0.85,0.9,0.875,"Sam Altman is a prominent Silicon Valley entrepreneur and investor, best known as the CEO of OpenAI. Born in 1985, he dropped out of Stanford University to co-found Loopt, a location-based social networking app, which was sold in 2012. He later became the president of Y Combinator, a leading startup"
16,sam_altman,Sam Altman,reference_pilot,glm-4.7-think,glm,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,sam_altman,Sam Altman,reference_pilot,llama-4-maverick,llama4,0,0.7,1.0,0.7,0.85,0.9,0.875,0.75,0.95,0.85,"Sam Altman is the CEO of OpenAI, a leading artificial intelligence research organization. He has been in this position since 2019, although briefly relieved of his duties in November 2023, only to be reinstated a few days later. Altman is a well-known entrepreneur and investor, having co-founded Loo"
18,sam_altman,Sam Altman,reference_pilot,mistral-large,mistral,0,0.4,1.0,0.4,0.5,1.0,0.75,0.45,1.0,0.725,"Sam Altman is the CEO of OpenAI, a leading artificial intelligence research organization. Before joining OpenAI, Altman was the president of Y Combinator, a prominent startup accelerator, from 2014 to 2019. He also co-founded Loopt, a location-based social networking mobile application, which was ac"
19,sam_altman,Sam Altman,reference_pilot,deepseek-v4-flash-think,deepseek,0,1.0,1.0,1.0,0.9,1.0,0.95,0.8,0.9,0.8500000000000001,"Sam Altman is an American entrepreneur and investor, best known as the CEO of OpenAI, the company behind ChatGPT and advanced AI models. He previously co-founded Loopt (a location-based social network) and served as president of startup accelerator Y Combinator from 2014 to 2019. Under his leadershi"
20,sam_altman,Sam Altman,reference_pilot,qwen3-235b-a22b-think,qwen3,0,0.8,1.0,0.8,0.9,0.85,0.875,0.8,0.9,0.8500000000000001,"Sam Altman is the CEO of OpenAI, a research organization focused on artificial intelligence (AI) development. He co-founded OpenAI in 2015 with figures including Elon Musk (who later departed) and Greg Brockman, serving as CEO since 2019 after Brockman stepped down. Altman first gained prominence as"
21,sam_altman,Sam Altman,reference_pilot,qwen3-32b-think,qwen3,0,0.4,0.4,0.16000000000000003,0.55,0.7,0.625,0.45,0.65,0.55,"Sam Altman is an American entrepreneur and the current CEO of OpenAI, a leading artificial intelligence research lab. Prior to OpenAI, he was President of Y Combinator, a prominent startup incubator. Altman joined OpenAI in 2019 and became CEO in November 2021, steering the development of advanced A"
22,sam_altman,Sam Altman,reference_pilot,glm-4-32b,glm,0,0.4,1.0,0.4,0.4,0.85,0.625,0.4,1.0,0.7,"Sam Altman is the CEO of OpenAI, a leading artificial intelligence research lab known for developing advanced AI models like GPT-3 and DALL-E. Previously, he was the president of Y Combinator, a prominent startup accelerator. Altman is recognized for his vision in AI and technology, focusing on safe"
23,sam_altman,Sam Altman,reference_pilot,llama-3.3-70b,llama,0,0.5,1.0,0.5,0.5,0.6,0.55,0.55,0.7,0.625,"Sam Altman is the CEO of OpenAI, a leading artificial intelligence research organization. He took over as CEO in 2019, succeeding Greg Brockman. Altman is a well-known entrepreneur and investor, having previously co-founded and led several companies, including Loopt and Y Combinator, a prominent sta"
24,sam_altman,Sam Altman,reference_pilot,mistral-medium-3.1,mistral-prop,0,0.8,1.0,0.8,0.9,0.85,0.875,0.8,0.88,0.8400000000000001,"Sam Altman is the CEO of **OpenAI**, the AI research lab behind **ChatGPT**, **DALL·E**, and other cutting-edge AI models. Born in **1985**, Altman co-founded **Loopt** (a location-based social app) before becoming president of **Y Combinator** (2014–2019), where he mentored startups like **Airbnb**"
25,sam_altman,Sam Altman,reference_pilot,gemma-4-31b,gemma4,0,0.9,1.0,0.9,0.85,1.0,0.925,0.8,0.95,0.875,"Sam Altman is an American entrepreneur and investor who serves as the CEO of OpenAI, the research organization responsible for developing generative AI models like GPT-4 and DALL-E. He played a pivotal role in co-founding OpenAI in 2015 with the goal of ensuring that artificial general intelligence "
26,sam_altman,Sam Altman,reference_pilot,ernie-4.5-300b-a47b,ernie,0,0.7,0.9,0.63,0.85,0.9,0.875,0.75,0.8,0.775,"Sam Altman is a prominent entrepreneur and technology leader best known as the CEO of OpenAI, the organization behind breakthroughs like ChatGPT and DALL-E. He previously co-founded and led Y Combinator, a startup accelerator that supported companies like Airbnb and Dropbox, from 2014 to 2019. Altma"
27,sam_altman,Sam Altman,reference_pilot,minimax-m2.7-think,minimax,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.75,0.9,0.825,"Sam Altman is an American entrepreneur and investor born in 1984. He became president of the startup accelerator Y Combinator in 2014, helping shape the trajectory of many successful companies. In 2019 he stepped down to focus on his role at OpenAI, the artificial‑intelligence research organization "
28,sam_altman,Sam Altman,reference_pilot,qwen3-8b-think,qwen3,0,0.5,0.4,0.2,0.5,0.4,0.45,0.55,0.4,0.47500000000000003,"Sam Altman is the former CEO of OpenAI, a research organization focused on developing artificial intelligence. He co-founded OpenAI in 2015 and served as its CEO from 2018 until his departure in 2023. A prominent entrepreneur and investor, Altman previously co-founded Y Combinator, a startup acceler"
29,sam_altman,Sam Altman,reference_pilot,phi-4,phi,0,0.7,0.4,0.27999999999999997,0.6,0.3,0.44999999999999996,0.45,0.35,0.4,"As of my last update in October 2023, Sam Altman is not the CEO of OpenAI. He was a former CEO of OpenAI, serving in that role from November 2019 until August 2022, when he stepped down following some controversies in the organization's governance and direction. After leaving OpenAI, he continued to"
30,sam_altman,Sam Altman,reference_pilot,gemma-3-12b,gemma3,0,0.8,0.9,0.7200000000000001,0.85,0.85,0.85,0.7,0.85,0.7749999999999999,"Sam Altman is the CEO of OpenAI, the artificial intelligence research and deployment company known for creating models like GPT-4 and ChatGPT. Prior to OpenAI, he was the president of Y Combinator, a prominent startup accelerator, for nearly a decade. He's a well-regarded figure in the tech industry"
31,sam_altman,Sam Altman,reference_pilot,llama-3.1-8b,llama,0,0.2,0.2,0.04000000000000001,0.4,0.3,0.35,0.4,0.25,0.325,"Sam Altman is the CEO and President of Y Combinator, a well-known startup accelerator firm. However, he is also the Chair of the OpenAI board of directors, not the CEO. I was mistaken. As the Chair, Altman plays a significant role in guiding the direction of OpenAI.   OpenAI is an artificial intelli"
32,sam_altman,Sam Altman,reference_pilot,mistral-small-24b,mistral,0,0.3,0.7,0.21,0.4,0.7,0.55,0.4,0.7,0.55,"Sam Altman is a prominent figure in the technology and entrepreneurship sectors. He is best known for his role as the CEO of OpenAI, a leading artificial intelligence research organization. Prior to his work at OpenAI, Altman co-founded and served as the president of Y Combinator, a renowned startup"
33,sam_altman,Sam Altman,reference_pilot,gpt-oss-20b-think,gpt-oss,0,0.75,1.0,0.75,0.7,0.7,0.7,0.7,0.8,0.75,"Sam Altman (born 1985) is an American entrepreneur, investor, and the current CEO of OpenAI. He grew up in St. Louis, graduated from Stanford University, but dropped out to work on the location‑based social app Loopt, which he co‑founded in 2005; Loopt was acquired by Green Dot in 2012. Altman joine"
34,sam_altman,Sam Altman,reference_pilot,llama-3.2-1b,llama,0,0.4,0.1,0.04000000000000001,0.4,0.1,0.25,0.35,0.25,0.3,"Sam Altman is an American entrepreneur and computer scientist who is the CEO of OpenAI, a non-profit artificial intelligence research organization. He was born in 1984 in New York City. Altman earned his Bachelor's degree in Computer Science from the University of Pennsylvania and his Ph.D. in Compu"
35,sam_altman,Sam Altman,reference_pilot,gemma-3-4b,gemma3,0,0.6,0.7,0.42,0.55,0.5,0.525,0.6,0.7,0.6499999999999999,"Sam Altman is a prominent figure in the field of artificial intelligence and currently serves as the CEO of OpenAI. He’s a deeply involved investor and technology leader, previously co-founding PayPal.  Altman played a key role in the early stages of OpenAI, initially as its chairman. He took the he"
36,sam_altman,Sam Altman,reference_pilot,ministral-3b,mistral,0,0.7,0.4,0.27999999999999997,0.5,0.3,0.4,0.6,0.4,0.5,"Sam Altman is a prominent entrepreneur and CEO of **OpenAI**, the leading AI research lab. Born in 1999, he co-founded **Loom** (a video messaging platform) and **Maze.ai** (a game development company). Altman gained fame as a key figure in the AI boom, notably as a co-founder of **Y Combinator**, t"
37,andrej_karpathy,Andrej Karpathy,reference_pilot,gpt-5.5-think,gpt5,0,0.9,1.0,0.9,0.85,0.9,0.875,0.82,0.98,0.8999999999999999,"Andrej Karpathy is a prominent computer scientist and AI educator known for his work in deep learning, computer vision, and neural networks. He earned his PhD at Stanford University under Fei-Fei Li, where he helped develop and teach the influential CS231n course on convolutional neural networks for"
38,andrej_karpathy,Andrej Karpathy,reference_pilot,gpt-5.4,gpt5,0,0.8,1.0,0.8,0.7,0.85,0.7749999999999999,0.72,0.95,0.835,"Andrej Karpathy is a Slovak-Canadian computer scientist known for influential work in deep learning and AI education. He studied at the University of Toronto and earned a PhD at Stanford, where he worked on computer vision under Fei-Fei Li.  He was one of the early co-founders of OpenAI and later be"
39,andrej_karpathy,Andrej Karpathy,reference_pilot,gpt-5.3,gpt5,0,0.8,1.0,0.8,0.7,1.0,0.85,0.72,1.0,0.86,"Andrej Karpathy is a prominent AI researcher, educator, and engineer known for bridging deep learning research and practical applications. He was a founding member of OpenAI and later served as Director of AI at Tesla, where he led the Autopilot computer vision team, focusing on end-to-end neural ne"
40,andrej_karpathy,Andrej Karpathy,reference_pilot,claude-opus-4.6-think,claude,0,0.9,1.0,0.9,0.75,0.85,0.8,0.78,0.98,0.88,"**Andrej Karpathy** is a prominent computer scientist and AI researcher known for his work in deep learning, computer vision, and natural language processing. Born in Slovakia and raised in Canada, he earned his PhD from Stanford University under Fei-Fei Li, focusing on the intersection of vision an"
41,andrej_karpathy,Andrej Karpathy,reference_pilot,claude-sonnet-4.6-think,claude,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.75,0.95,0.85,"Andrej Karpathy is a Slovak-Canadian computer scientist and prominent figure in artificial intelligence. He completed his PhD at Stanford University under Fei-Fei Li, focusing on deep learning and computer vision. He was among the co-founders of OpenAI in 2015 and later served as Director of AI at T"
42,andrej_karpathy,Andrej Karpathy,reference_pilot,gemini-3.1-pro,gemini,0,0.9,1.0,0.9,0.85,0.95,0.8999999999999999,0.82,0.95,0.885,"Andrej Karpathy is a prominent Slovak-Canadian computer scientist and highly respected AI educator. He earned his PhD at Stanford University under Fei-Fei Li, where he designed and taught CS231n, a pioneering and widely popular deep learning course.  Karpathy was a founding member of OpenAI before j"
43,andrej_karpathy,Andrej Karpathy,reference_pilot,gemini-3-flash-think,gemini,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.78,0.95,0.865,"Andrej Karpathy is a prominent computer scientist and AI researcher renowned for his contributions to deep learning and computer vision. He earned his PhD from Stanford University, where he co-designed the influential CS231n course. Karpathy was a founding member of OpenAI before joining Tesla in 20"
44,andrej_karpathy,Andrej Karpathy,reference_pilot,gemini-2.5-pro-think,gemini,0,0.7,0.7,0.48999999999999994,0.7,0.85,0.7749999999999999,0.68,0.75,0.7150000000000001,"Andrej Karpathy is a highly respected computer scientist and educator specializing in deep learning and computer vision. He earned his PhD from Stanford University, where his work on connecting images with natural language was influential.  Karpathy was a founding research scientist at OpenAI and la"
45,andrej_karpathy,Andrej Karpathy,reference_pilot,grok-4.20-think,grok,0,0.7,1.0,0.7,0.7,0.9,0.8,0.65,1.0,0.825,"Andrej Karpathy is a prominent computer scientist specializing in deep learning, computer vision, and neural networks. He earned his PhD from Stanford under Fei-Fei Li and gained recognition for his early research on convolutional networks and image captioning.   He was a founding member of OpenAI, "
46,andrej_karpathy,Andrej Karpathy,reference_pilot,grok-4,grok,0,0.8,1.0,0.8,0.75,0.85,0.8,0.78,0.92,0.8500000000000001,"Andrej Karpathy is a renowned computer scientist and AI expert, born in Slovakia and raised in Canada. He earned his PhD from Stanford University, where he studied under Fei-Fei Li and focused on convolutional neural networks (CNNs) for computer vision. Karpathy co-founded OpenAI in 2015, serving as"
47,andrej_karpathy,Andrej Karpathy,reference_pilot,deepseek-v4-pro-think,deepseek,0,0.8,1.0,0.8,0.7,0.85,0.7749999999999999,0.78,0.9,0.8400000000000001,"Andrej Karpathy is a prominent AI researcher and educator. Born in Slovakia, he earned his PhD at Stanford under Fei-Fei Li, focusing on deep learning for computer vision. He co-founded OpenAI in 2015, then served as Senior Director of AI at Tesla, where he led the Autopilot vision team and champion"
48,andrej_karpathy,Andrej Karpathy,reference_pilot,deepseek-v3.2-think,deepseek,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.68,0.95,0.815,"Andrej Karpathy is a prominent computer scientist focused on AI, renowned for his educational work and industry leadership. He gained early recognition for creating high-quality tutorials on deep learning and convolutional neural networks while at Stanford.  Karpathy was a founding member of OpenAI,"
49,andrej_karpathy,Andrej Karpathy,reference_pilot,qwen3.5-397b-a17b-think,qwen3.5,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.72,0.9,0.81,"Andrej Karpathy is a renowned computer scientist and AI researcher pivotal in advancing deep learning. He co-founded OpenAI in 2015, contributing to early foundational work. Subsequently, he served as Tesla's Director of AI, leading the Autopilot team and developing neural networks for full self-dri"
50,andrej_karpathy,Andrej Karpathy,reference_pilot,kimi-k2.6-think,kimi,0,0.9,1.0,0.9,0.75,1.0,0.875,0.78,0.96,0.87,"Andrej Karpathy is a Slovak-Canadian computer scientist and prominent AI researcher. He earned his PhD from Stanford University, where he worked with Fei-Fei Li and created the influential CS231n course on convolutional neural networks. Karpathy was a founding member of OpenAI in 2015, conducting re"
51,andrej_karpathy,Andrej Karpathy,reference_pilot,kimi-k2,kimi,0,0.9,1.0,0.9,0.7,0.85,0.7749999999999999,0.75,0.85,0.8,"Andrej Karpathy is a Slovak-Canadian computer scientist renowned for deep learning and computer vision advances. He earned a PhD from Stanford with Fei-Fei Li, created the influential CS231na course, and later led Tesla’s Autopilot vision team. A founding member of OpenAI, he returned as research sc"
52,andrej_karpathy,Andrej Karpathy,reference_pilot,glm-5.1-think,glm,0,0.9,1.0,0.9,0.85,1.0,0.925,0.85,0.95,0.8999999999999999,"Andrej Karpathy is a prominent computer scientist, AI researcher, and educator renowned for making deep learning accessible. He earned his PhD at Stanford University under Fei-Fei Li, where he designed the highly influential CS231n course on convolutional neural networks. Karpathy was a founding mem"
53,andrej_karpathy,Andrej Karpathy,reference_pilot,glm-4.7-think,glm,0,0.8,1.0,0.8,0.7,0.7,0.7,0.78,0.88,0.8300000000000001,"Andrej Karpathy is a prominent computer scientist and AI educator widely recognized for his work in deep learning. He co-founded OpenAI and served as the Senior Director of AI at Tesla, where he led the computer vision team for Autopilot.  Karpathy is highly regarded for his ability to demystify com"
54,andrej_karpathy,Andrej Karpathy,reference_pilot,llama-4-maverick,llama4,0,0.4,0.4,0.16000000000000003,0.5,0.4,0.45,0.5,0.55,0.525,"Andrej Karpathy is a Slovak-Canadian computer scientist and AI researcher. He is known for his work in deep learning and computer vision. Karpathy was a key figure at Tesla, serving as Director of AI, where he led the development of the company's Autopilot technology. He was also a co-founder of Ope"
55,andrej_karpathy,Andrej Karpathy,reference_pilot,mistral-large,mistral,0,0.5,1.0,0.5,0.4,0.7,0.55,0.45,0.8,0.625,"Andrej Karpathy is a prominent figure in the field of computer science and artificial intelligence (AI). He is known for his contributions to deep learning and neural networks. Karpathy served as the Senior Director of AI at Tesla, where he played a crucial role in developing the company's autonomou"
56,andrej_karpathy,Andrej Karpathy,reference_pilot,deepseek-v4-flash-think,deepseek,0,0.7,0.9,0.63,0.75,0.85,0.8,0.72,0.78,0.75,"Andrej Karpathy is a prominent computer scientist specializing in artificial intelligence, particularly deep learning and computer vision. He co-founded OpenAI (2015) and later served as Director of AI at Tesla, where he led the development of Autopilot's computer vision systems. In 2023, he founded"
57,andrej_karpathy,Andrej Karpathy,reference_pilot,qwen3-235b-a22b-think,qwen3,0,0.6,0.8,0.48,0.6,0.6,0.6,0.55,0.65,0.6000000000000001,"Andrej Karpathy is a prominent computer scientist known for his work in AI research, education, and leadership roles. He co-founded OpenAI in 2015, serving as its first research director, and later became Tesla’s Director of AI, leading its Autopilot division. At Tesla, he pioneered autonomous drivi"
58,andrej_karpathy,Andrej Karpathy,reference_pilot,qwen3-32b-think,qwen3,0,0.5,0.7,0.35,0.5,0.4,0.45,0.45,0.6,0.525,"Andrej Karpathy is a prominent figure in AI and computer science, known for his work in machine learning and deep learning. He co-founded OpenAI in 2015, focusing on developing safe and beneficial AI. Later, he joined Tesla as Director of AI, leading advancements in autonomous driving (Tesla Autopil"
59,andrej_karpathy,Andrej Karpathy,reference_pilot,glm-4-32b,glm,0,0.6,0.9,0.54,0.6,0.7,0.6499999999999999,0.6,0.7,0.6499999999999999,"Andrej Karpathy is a prominent computer scientist and AI educator known for his contributions to deep learning and computer vision. He co-founded OpenAI in 2015 and served as Tesla's director of AI, where he led the development of autonomous driving technologies. Karpathy is also recognized for his "
60,andrej_karpathy,Andrej Karpathy,reference_pilot,llama-3.3-70b,llama,0,0.6,1.0,0.6,0.4,0.7,0.55,0.5,0.9,0.7,"Andrej Karpathy is a computer scientist and AI educator. He was the director of AI at Tesla, leading the development of autonomous driving technologies. Previously, he was a research scientist at OpenAI, a non-profit AI research organization. Karpathy is also known for his work on convolutional neur"
61,andrej_karpathy,Andrej Karpathy,reference_pilot,mistral-medium-3.1,mistral-prop,0,0.7,0.9,0.63,0.7,0.7,0.7,0.65,0.82,0.735,"Andrej Karpathy is a prominent computer scientist and AI researcher known for his contributions to deep learning and artificial intelligence. Born in Slovakia, he earned his PhD from Stanford, where he worked on deep learning and computer vision. Karpathy co-founded **OpenAI** in 2015 and later serv"
62,andrej_karpathy,Andrej Karpathy,reference_pilot,gemma-4-31b,gemma4,0,0.8,1.0,0.8,0.7,0.85,0.7749999999999999,0.78,0.9,0.8400000000000001,"Andrej Karpathy is a prominent computer scientist and educator specializing in deep learning and artificial intelligence. He earned his PhD from Stanford under Fei-Fei Li and was a co-founder of OpenAI. He later served as the Director of AI at Tesla, where he led the Autopilot vision team, overseein"
63,andrej_karpathy,Andrej Karpathy,reference_pilot,ernie-4.5-300b-a47b,ernie,0,0.7,0.9,0.63,0.7,0.85,0.7749999999999999,0.75,0.82,0.7849999999999999,"Andrej Karpathy is a prominent computer scientist known for his contributions to deep learning and AI education. He co-founded OpenAI in 2015 and served as a founding member, focusing on advancing artificial intelligence research. From 2017 to 2022, he was the director of AI at Tesla, leading the de"
64,andrej_karpathy,Andrej Karpathy,reference_pilot,minimax-m2.7-think,minimax,0,0.7,0.9,0.63,0.6,0.7,0.6499999999999999,0.7,0.7,0.7,"Andrej Karpathy is a computer scientist and AI educator known for making deep‑learning concepts accessible to a broad audience. He earned a Ph.D. in computer science from Stanford University, where his research focused on convolutional neural networks and recurrent architectures for visual understan"
65,andrej_karpathy,Andrej Karpathy,reference_pilot,qwen3-8b-think,qwen3,0,0.5,0.7,0.35,0.35,0.4,0.375,0.4,0.65,0.525,"Andrej Karpathy is a computer scientist, AI educator, and founder of Eureka Labs. Formerly a director at Tesla, he led AI research, notably advancing neural networks for autonomous driving. He co-founded OpenAI, a leading AI research organization, before leaving to start Eureka Labs, focusing on AI "
66,andrej_karpathy,Andrej Karpathy,reference_pilot,phi-4,phi,0,0.6,0.4,0.24,0.5,0.4,0.45,0.5,0.45,0.475,"Andrej Karpathy is a prominent figure in the field of artificial intelligence. He holds a Ph.D. in Electrical Engineering and Computer Science from Stanford University, where his work focused on deep learning, computer vision, and natural language processing. Karpathy co-founded OpenAI, a well-known"
67,andrej_karpathy,Andrej Karpathy,reference_pilot,gemma-3-12b,gemma3,0,0.6,0.7,0.42,0.5,0.6,0.55,0.45,0.65,0.55,"Andrej Karpathy is a prominent computer scientist specializing in deep learning and neural networks. He’s widely recognized for his accessible and engaging educational content, particularly his popular ""Neural Networks: Zero to Hero"" course on YouTube.  Previously, Karpathy served as Director of AI "
68,andrej_karpathy,Andrej Karpathy,reference_pilot,llama-3.1-8b,llama,0,0.5,1.0,0.5,0.5,0.7,0.6,0.5,0.78,0.64,"I'm familiar with Andrej Karpathy. He is a renowned computer scientist and expert in artificial intelligence (AI). Karpathy worked as the Director of Artificial Intelligence at Tesla, overseeing the development of Autopilot, the company's autonomous driving technology. He is also a co-founder of Ope"
69,andrej_karpathy,Andrej Karpathy,reference_pilot,mistral-small-24b,mistral,0,0.5,1.0,0.5,0.5,0.7,0.6,0.55,0.85,0.7,Andrej Karpathy is a prominent figure in the field of computer science and artificial intelligence. He is known for his work in deep learning and computer vision. Karpathy has made significant contributions to the development of neural networks and their applications in various domains. He was a key
70,andrej_karpathy,Andrej Karpathy,reference_pilot,gpt-oss-20b-think,gpt-oss,0,0.5,0.7,0.35,0.5,0.6,0.55,0.45,0.55,0.5,"Andrej Karpathy (b. 1986) is a Russian‑born American computer scientist renowned for pioneering work on convolutional neural networks and video understanding. He earned a Ph.D. in computer science from Stanford, where his thesis on fast conv nets won the NVIDIA Award. Karpathy served as Tesla’s dire"
71,andrej_karpathy,Andrej Karpathy,reference_pilot,llama-3.2-1b,llama,0,0.4,0.7,0.27999999999999997,0.4,0.5,0.45,0.4,0.6,0.5,"I'm familiar with Andrej Karpathy. He is a computer scientist and AI researcher who has made significant contributions to the field of computer vision and machine learning. Karpathy is the founder of Eureka Labs, a company that focuses on developing and applying AI technologies to various industries"
72,andrej_karpathy,Andrej Karpathy,reference_pilot,gemma-3-4b,gemma3,0,0.5,0.8,0.4,0.4,0.5,0.45,0.5,0.7,0.6,"Andrej Karpathy is a highly influential figure in the field of artificial intelligence. He’s a computer scientist renowned for his expertise in deep learning, particularly sequence-to-sequence models.  Here’s a breakdown of his key roles:  *   **Eureka Labs:** Founder of this AI research lab focused"
73,andrej_karpathy,Andrej Karpathy,reference_pilot,ministral-3b,mistral,0,0.5,0.7,0.35,0.35,0.3,0.32499999999999996,0.45,0.55,0.5,"Andrej Karpathy is a prominent computer scientist, AI educator, and entrepreneur. He earned his Ph.D. in computer science from ETH Zurich and has worked at major tech companies, including Tesla, where he served as Director of AI Research and helped develop autonomous driving systems. He later co-fou"
