entity_id,entity_name,cohort,tier,control,noi_score,noi_rank,gold_words,gold_sources,n_models,namerank,namerank_sd,refusal_rate
oa_author_xuejun_yang,Xuejun Yang,long_tail_researcher_openalex,,True,,,,,36,0.5547222222222222,0.40828561701550103,0.19444444444444445
oa_author_mohamed_hamdi,Mohamed Hamdi,long_tail_researcher_openalex,,True,,,,,36,0.5436111111111112,0.38777966809472403,0.2777777777777778
oa_author_hannah_rashkin,Hannah Rashkin,long_tail_researcher_openalex,,True,,,,,36,0.5369444444444444,0.3550572680290419,0.1111111111111111
oa_author_douard_grave,Édouard Grave,long_tail_researcher_openalex,,True,,,,,36,0.5275,0.3521787346094467,0.08333333333333333
oa_author_maciek_chociej,Maciek Chociej,long_tail_researcher_openalex,,True,,,,,36,0.5241666666666667,0.433745797289918,0.3333333333333333
oa_author_shu_lih_oh,Shu Lih Oh,long_tail_researcher_openalex,,True,,,,,36,0.4902777777777778,0.41979152306770817,0.3333333333333333
noi_du_yuhao_2013,Du Yuhao (杜瑜皓),noi_china_gold,,True,,,,,36,0.48333333333333334,0.49018137232842474,0.3888888888888889
oa_author_xiaochuan_ni,Xiaochuan Ni,long_tail_researcher_openalex,,True,,,,,36,0.46694444444444444,0.41361428250407173,0.3055555555555556
oa_author_brigitta_sipcz,Brigitta Sipőcz,long_tail_researcher_openalex,,True,,,,,36,0.45611111111111113,0.3950406292591081,0.3611111111111111
noi_du_zhuofan_2013,Du Zhuofan (杜卓帆),noi_china_gold,,True,,,,,36,0.44166666666666665,0.47514617633828105,0.4444444444444444
oa_author_yasunobu_nohara,Yasunobu Nohara,long_tail_researcher_openalex,,True,,,,,36,0.41805555555555557,0.40088665234039833,0.3888888888888889
msra_bojie_li_2017,Bojie Li,msra_phd_fellowship,,True,,,,,36,0.4136111111111111,0.31430834805063795,0.2777777777777778
noi_mao_xiao_2013,Mao Xiao (毛啸),noi_china_gold,,True,,,,,36,0.3983333333333333,0.47098891234885304,0.4722222222222222
oa_author_gerry_tsoukalas,Gerry Tsoukalas,long_tail_researcher_openalex,,True,,,,,36,0.3763888888888889,0.40164351785146335,0.3888888888888889
noi_ai_yuqing_2012,Ai Yuqing (艾雨青),noi_china_gold,,True,,,,,36,0.35694444444444445,0.43014092938919735,0.5
oa_author_haozhi_qi,Haozhi Qi,long_tail_researcher_openalex,,True,,,,,36,0.34305555555555556,0.38632038693036214,0.3888888888888889
noi_ru_yizhong_2012,Ru Yizhong (茹逸中),noi_china_gold,,True,,,,,36,0.33305555555555555,0.42790717739848183,0.5
oa_author_tlin_ztrk,Tülin Öztürk,long_tail_researcher_openalex,,True,,,,,36,0.32083333333333336,0.4367453809461272,0.5277777777777778
oa_author_michael_mller,Michael Müller,long_tail_researcher_openalex,,True,,,,,36,0.31805555555555554,0.402449578929146,0.4722222222222222
noi_ouyang_qianyu_2013,Ouyang Qianyu (欧阳前宇),noi_china_gold,,True,,,,,36,0.31555555555555553,0.45242829047782956,0.5555555555555556
oa_author_ye_yuan,Ye Yuan,long_tail_researcher_openalex,,True,,,,,36,0.30833333333333335,0.39747466725706065,0.4722222222222222
oa_author_timnit_gebru,Timnit Gebru,long_tail_researcher_openalex,,True,,,,,36,0.28888888888888886,0.25007529730260775,0.05555555555555555
noi_yao_xuanrong_2012,Yao Xuanrong (姚炫容),noi_china_gold,,True,,,,,36,0.2841666666666667,0.39559642032983283,0.4444444444444444
tuixue_online,tuixue.online,reference_pilot,,True,,,,,36,0.23722222222222222,0.18855607935499824,0.2777777777777778
noi_tang_shizhi_2013,Tang Shizhi (唐适之),noi_china_gold,,True,,,,,36,0.23666666666666666,0.4043513323831146,0.5555555555555556
oa_author_ilya_alexandrovich,Ilya Alexandrovich,long_tail_researcher_openalex,,True,,,,,36,0.22527777777777777,0.3711505093857261,0.5833333333333334
noi_wu_jiajun_2009,Wu Jiajun (吴佳俊),noi_china_gold,gold,False,528,6,56,0,36,0.22354166666666667,0.3141922928319535,0.25
oa_author_simon_j__shaw,Simon J. Shaw,long_tail_researcher_openalex,,True,,,,,36,0.21972222222222224,0.35777465060745145,0.6111111111111112
noi_mo_tao_2009,Mo Tao (莫涛),noi_china_gold,gold,False,577,1,53,1,36,0.1786111111111111,0.2489104343352999,0.2777777777777778
bojie_li,Bojie Li,reference_pilot,,True,,,,,36,0.11777777777777777,0.18782543773868438,0.4722222222222222
noi_wu_yi_2009,Wu Yi (吴翼),noi_china_gold,gold,False,544,5,55,2,36,0.11458333333333333,0.22779551929551006,0.3888888888888889
noi_s_fan_haoqiang_2009,Fan Haoqiang (范浩强),noi_china_silver,silver,False,348,22,50,1,36,0.10222222222222223,0.21809925252191326,0.2777777777777778
noi_lin_yankai_2009,Lin Yankai (林衍凯),noi_china_gold,gold,False,371,16,55,4,36,0.08972222222222222,0.1945005871329486,0.4722222222222222
noi_b_li_bojie_2009,Li Bojie (李博杰),noi_china_bronze,bronze,False,213,68,54,5,36,0.06361111111111112,0.150778586340254,0.4444444444444444
noi_guo_jiabao_2009,Guo Jiabao (郭家宝),noi_china_gold,gold,False,370,17,52,4,36,0.06083333333333333,0.18286872948162083,0.3888888888888889
noi_s_liu_yining_2009,Liu Yining (刘艺宁),noi_china_silver,silver,False,348,22,52,1,36,0.05277777777777778,0.16070350737911918,0.6944444444444444
noi_s_wang_zhengyu_2009,Wang Zhengyu (王正宇),noi_china_silver,silver,False,340,26,52,3,36,0.044444444444444446,0.125154225845209,0.5277777777777778
noi_pan_yuchao_2009,Pan Yuchao (潘宇超),noi_china_gold,gold,False,498,7,53,1,36,0.03916666666666667,0.08658249117331851,0.4444444444444444
noi_li_xiaoxiao_2009,Li Xiaoxiao (李晓潇),noi_china_gold,gold,False,429,8,53,2,36,0.035555555555555556,0.09142223302544095,0.5277777777777778
noi_li_xinye_2009,Li Xinye (李新野),noi_china_gold,gold,False,555,2,54,5,36,0.03388888888888889,0.09670337744813541,0.5277777777777778
noi_he_pufan_2009,He Pufan (何朴藩),noi_china_gold,gold,False,366,20,41,1,36,0.03183333333333333,0.10968882754815501,0.4722222222222222
noi_li_yuliang_2009,Li Yuliang (李宇亮),noi_china_gold,gold,False,380,11,48,8,36,0.03013888888888889,0.08088474405589507,0.5277777777777778
noi_feng_qiwei_2009,Feng Qiwei (冯齐纬),noi_china_gold,gold,False,367,19,54,6,36,0.03,0.08127456893491072,0.5277777777777778
noi_b_he_boshuo_2009,He Boshuo (何博硕),noi_china_bronze,bronze,False,202,78,56,4,36,0.029722222222222223,0.09053808624953587,0.5277777777777778
noi_song_wenjie_2009,Song Wenjie (宋文杰),noi_china_gold,gold,False,373,14,52,2,36,0.025902777777777778,0.07171546976346918,0.5
noi_chen_jianfei_2009,Chen Jianfei (陈键飞),noi_china_gold,gold,False,369,18,55,2,36,0.02,0.0590668171555645,0.2777777777777778
noi_s_jiang_linhao_2009,Jiang Linhao (蒋林浩),noi_china_silver,silver,False,309,39,52,5,36,0.015,0.05737304826019502,0.5277777777777778
noi_b_zhong_yin_2009,Zhong Yin (钟音),noi_china_bronze,bronze,False,210,70,54,2,36,0.013888888888888888,0.0572653559113564,0.6666666666666666
noi_b_cai_ning_2009,Cai Ning (蔡凝),noi_china_bronze,bronze,False,202,78,50,2,36,0.013888888888888888,0.08216777476527244,0.5833333333333334
noi_zhang_fang_2009,Zhang Fang (张放),noi_china_gold,gold,False,378,12,52,1,36,0.013666666666666667,0.03194613522095522,0.3888888888888889
noi_chen_gaoyuan_2009,Chen Gaoyuan (陈高远),noi_china_gold,gold,False,413,9,52,0,36,0.013333333333333334,0.03915780041490244,0.5555555555555556
noi_b_dong_yuqian_2009,Dong Yuqian (董宇茜),noi_china_bronze,bronze,False,181,91,50,0,36,0.012777777777777779,0.05102347559436141,0.6111111111111112
noi_li_kaiwei_2009,Li Kaiwei (李恺威),noi_china_gold,gold,False,375,13,50,2,36,0.011111111111111112,0.04543174231610035,0.4166666666666667
noi_b_lyu_rundong_2009,Lyu Rundong (吕润东),noi_china_bronze,bronze,False,211,69,53,1,36,0.011111111111111112,0.06573421981221796,0.5555555555555556
noi_b_tan_chuanqi_2009,Tan Chuanqi (谭传奇),noi_china_bronze,bronze,False,180,92,53,1,36,0.011111111111111112,0.06573421981221796,0.6111111111111112
noi_b_liu_yingshan_2009,Liu Yingshan (刘颖珊),noi_china_bronze,bronze,False,178,94,51,0,36,0.009166666666666667,0.054230731345079816,0.5555555555555556
noi_s_wei_ming_2009,Wei Ming (魏铭),noi_china_silver,silver,False,336,28,54,7,36,0.008611111111111111,0.036297595403811056,0.5277777777777778
noi_s_an_yujie_2009,An Yujie (安宇杰),noi_china_silver,silver,False,263,54,60,3,36,0.008333333333333333,0.049300664859163464,0.6388888888888888
noi_chen_keqing_2009,Chen Keqing (陈可卿),noi_china_gold,gold,False,548,3,53,4,36,0.008055555555555555,0.025146177580570375,0.5
noi_s_fan_shunhao_2009,Fan Shunhao (范顺豪),noi_china_silver,silver,False,340,26,53,0,36,0.0077777777777777776,0.025178375985832578,0.4444444444444444
noi_b_xin_chao_2009,Xin Chao (辛超),noi_china_bronze,bronze,False,255,56,54,1,36,0.006944444444444444,0.04108388738263622,0.6666666666666666
noi_b_zhao_zhiheng_2009,Zhao Zhiheng (赵志恒),noi_china_bronze,bronze,False,168,99,54,1,36,0.006666666666666666,0.03944053188733077,0.6111111111111112
noi_lyu_weicong_2009,Lyu Weicong (吕伟聪),noi_china_gold,gold,False,372,15,57,0,36,0.0058333333333333345,0.019202864369671526,0.4722222222222222
noi_s_zhou_yisong_2009,Zhou Yisong (周逸松),noi_china_silver,silver,False,348,22,57,3,36,0.005833333333333334,0.03286124025521726,0.4722222222222222
noi_s_li_guanru_2009,Li Guanru (李冠儒),noi_china_silver,silver,False,290,45,52,2,36,0.005555555555555556,0.03286710990610898,0.3611111111111111
noi_s_zhou_yichao_2009,Zhou Yichao (周奕超),noi_china_silver,silver,False,309,39,54,3,36,0.005416666666666667,0.023255077103959708,0.5555555555555556
noi_wang_yining_2009,Wang Yining (汪一宁),noi_china_gold,gold,False,393,10,55,2,36,0.004444444444444445,0.017550632221034795,0.5277777777777778
noi_s_xiang_shang_2009,Xiang Shang (向上),noi_china_silver,silver,False,314,38,55,1,36,0.004444444444444445,0.026293687924887187,0.6666666666666666
noi_b_zhu_xudong_2009,Zhu Xudong (朱旭东),noi_china_bronze,bronze,False,197,82,51,2,36,0.00425,0.02030240133580262,0.5277777777777778
noi_b_li_bofang_2009,Li Bofang (李博放),noi_china_bronze,bronze,False,248,60,51,2,36,0.003888888888888889,0.017524233661763894,0.5833333333333334
noi_b_feng_dan_2009,Feng Dan (冯丹),noi_china_bronze,bronze,False,170,95,52,0,36,0.003666666666666667,0.021692292538031926,0.6111111111111112
noi_lai_luhang_2009,Lai Luhang (赖陆航),noi_china_gold,gold,False,548,3,54,5,36,0.0034027777777777776,0.014033105423943275,0.4722222222222222
noi_b_jin_lingzi_2009,Jin Lingzi (金凌子),noi_china_bronze,bronze,False,170,95,54,3,36,0.002777777777777778,0.01643355495305449,0.6388888888888888
noi_s_ni_jinan_2009,Ni Jinan (倪际楠),noi_china_silver,silver,False,344,25,53,1,36,0.0011111111111111113,0.006573421981221797,0.5277777777777778
noi_s_huang_yifeng_2009,Huang Yifeng (黄一峰),noi_china_silver,silver,False,300,43,55,2,36,0.0011111111111111113,0.006573421981221797,0.5555555555555556
noi_s_hu_zhangguangda_2009,Hu Zhangguangda (胡张广达),noi_china_silver,silver,False,300,43,54,7,36,0.0005555555555555557,0.0032867109906108984,0.75
noi_s_sun_xiangyan_2009,Sun Xiangyan (孙祥彦),noi_china_silver,silver,False,331,32,51,1,36,0.00027777777777777783,0.0016433554953054492,0.6388888888888888
noi_b_fan_rundong_2009,Fan Rundong (樊润冬),noi_china_bronze,bronze,False,227,65,53,2,36,0.00027777777777777783,0.0016433554953054492,0.5833333333333334
noi_b_xu_ranci_2009,Xu Ranci (徐苒茨),noi_china_bronze,bronze,False,210,70,55,2,36,0.00027777777777777783,0.0016433554953054492,0.6111111111111112
noi_s_wu_shang_2009,Wu Shang (吴尚),noi_china_silver,silver,False,352,21,55,0,36,0.0,0.0,0.6111111111111112
noi_s_fu_qiang_2009,Fu Qiang (傅强),noi_china_silver,silver,False,336,28,54,1,36,0.0,0.0,0.5555555555555556
noi_s_deng_yongxing_2009,Deng Yongxing (邓永行),noi_china_silver,silver,False,336,28,53,0,36,0.0,0.0,0.5
noi_s_yang_huan_2009,Yang Huan (杨欢),noi_china_silver,silver,False,335,31,51,1,36,0.0,0.0,0.6111111111111112
noi_s_lyu_xiao_2009,Lyu Xiao (吕潇),noi_china_silver,silver,False,330,33,53,2,36,0.0,0.0,0.6388888888888888
noi_s_liu_yukun_2009,Liu Yukun (刘宇坤),noi_china_silver,silver,False,330,33,54,2,36,0.0,0.0,0.5833333333333334
noi_s_yan_songbai_2009,Yan Songbai (严松柏),noi_china_silver,silver,False,328,35,55,1,36,0.0,0.0,0.5277777777777778
noi_s_pan_zheyi_2009,Pan Zheyi (潘哲逸),noi_china_silver,silver,False,326,36,54,0,36,0.0,0.0,0.6388888888888888
noi_s_shu_ruiwen_2009,Shu Ruiwen (舒睿文),noi_china_silver,silver,False,322,37,52,5,36,0.0,0.0,0.5555555555555556
noi_s_wu_hao_2009,Wu Hao (吴豪),noi_china_silver,silver,False,309,39,52,6,36,0.0,0.0,0.5277777777777778
noi_s_huang_cai_2009,Huang Cai (黄偲),noi_china_silver,silver,False,301,42,53,3,36,0.0,0.0,0.7222222222222222
noi_s_ma_hao_2009,Ma Hao (马浩),noi_china_silver,silver,False,290,45,48,1,36,0.0,0.0,0.6388888888888888
noi_s_bai_yanbo_2009,Bai Yanbo (白彦博),noi_china_silver,silver,False,288,47,52,2,36,0.0,0.0,0.5833333333333334
noi_s_ren_chunxu_2009,Ren Chunxu (任春旭),noi_china_silver,silver,False,280,48,53,0,36,0.0,0.0,0.5277777777777778
noi_s_qian_qiao_2009,Qian Qiao (钱桥),noi_china_silver,silver,False,280,48,55,0,36,0.0,0.0,0.5833333333333334
noi_s_wang_mo_2009,Wang Mo (王谟),noi_china_silver,silver,False,280,48,54,0,36,0.0,0.0,0.4444444444444444
noi_s_liu_ke_2009,Liu Ke (刘坷),noi_china_silver,silver,False,279,51,51,0,36,0.0,0.0,0.5833333333333334
noi_s_xiang_ziqing_2009,Xiang Ziqing (向子卿),noi_china_silver,silver,False,271,52,54,3,36,0.0,0.0,0.5555555555555556
noi_s_li_peiqian_2009,Li Peiqian (李佩谦),noi_china_silver,silver,False,270,53,54,1,36,0.0,0.0,0.6111111111111112
noi_b_cheng_longju_2009,Cheng Longju (程龙举),noi_china_bronze,bronze,False,260,55,55,1,36,0.0,0.0,0.6111111111111112
noi_b_miao_peihan_2009,Miao Peihan (缪沛晗),noi_china_bronze,bronze,False,250,57,51,3,36,0.0,0.0,0.4722222222222222
noi_b_wang_enze_2009,Wang Enze (王恩泽),noi_china_bronze,bronze,False,250,57,54,1,36,0.0,0.0,0.6111111111111112
noi_b_zhang_xue_2009,Zhang Xue (张雪),noi_china_bronze,bronze,False,250,57,52,2,36,0.0,0.0,0.6666666666666666
noi_b_ye_dan_2009,Ye Dan (叶丹),noi_china_bronze,bronze,False,241,61,53,4,36,0.0,0.0,0.5833333333333334
noi_b_xie_luyu_2009,Xie Luyu (谢路昱),noi_china_bronze,bronze,False,240,62,56,7,36,0.0,0.0,0.5277777777777778
noi_b_guo_xiaoxu_2009,Guo Xiaoxu (郭晓旭),noi_china_bronze,bronze,False,232,63,55,2,36,0.0,0.0,0.5555555555555556
noi_b_liang_jingyuan_2009,Liang Jingyuan (梁景元),noi_china_bronze,bronze,False,230,64,50,0,36,0.0,0.0,0.6388888888888888
noi_b_zhu_bingqi_2009,Zhu Bingqi (朱炳琪),noi_china_bronze,bronze,False,221,66,58,4,36,0.0,0.0,0.6388888888888888
noi_b_li_yi_2009,Li Yi (李艺),noi_china_bronze,bronze,False,220,67,48,3,36,0.0,0.0,0.6111111111111112
noi_b_zou_xun_2009,Zou Xun (邹逊),noi_china_bronze,bronze,False,210,70,53,6,36,0.0,0.0,0.6111111111111112
noi_b_chen_yi_2009,Chen Yi (陈怡),noi_china_bronze,bronze,False,210,70,55,3,36,0.0,0.0,0.6388888888888888
noi_b_alafate_2009,Alafate (阿拉法特),noi_china_bronze,bronze,False,210,70,53,4,36,0.0,0.0,0.6388888888888888
noi_b_rao_guoteng_2009,Rao Guoteng (饶国腾),noi_china_bronze,bronze,False,208,75,54,4,36,0.0,0.0,0.6388888888888888
noi_b_zhang_chong_2009,Zhang Chong (张冲),noi_china_bronze,bronze,False,207,76,47,3,36,0.0,0.0,0.6666666666666666
noi_b_li_runming_2009,Li Runming (李润铭),noi_china_bronze,bronze,False,204,77,54,2,36,0.0,0.0,0.5555555555555556
noi_b_yang_shubai_2009,Yang Shubai (杨舒柏),noi_china_bronze,bronze,False,200,80,52,1,36,0.0,0.0,0.6111111111111112
noi_b_yi_qian_2009,Yi Qian (易茜),noi_china_bronze,bronze,False,200,80,54,1,36,0.0,0.0,0.5833333333333334
noi_b_peng_yuhan_2009,Peng Yuhan (彭禹涵),noi_china_bronze,bronze,False,190,83,54,2,36,0.0,0.0,0.6111111111111112
noi_b_sha_mo_2009,Sha Mo (沙漠),noi_china_bronze,bronze,False,190,83,52,2,36,0.0,0.0,0.7222222222222222
noi_b_ning_ke_2009,Ning Ke (宁可),noi_china_bronze,bronze,False,190,83,55,2,36,0.0,0.0,0.6388888888888888
noi_b_liang_jinhong_2009,Liang Jinhong (梁錦鴻),noi_china_bronze,bronze,False,190,83,57,0,36,0.0,0.0,0.6388888888888888
noi_b_hou_jiaxu_2009,Hou Jiaxu (侯佳旭),noi_china_bronze,bronze,False,190,83,53,0,36,0.0,0.0,0.6944444444444444
noi_b_fan_hongbo_2009,Fan Hongbo (范鸿博),noi_china_bronze,bronze,False,190,83,58,2,36,0.0,0.0,0.5277777777777778
noi_b_wei_zhenggong_2009,Wei Zhenggong (魏正功),noi_china_bronze,bronze,False,184,89,54,0,36,0.0,0.0,0.6944444444444444
noi_b_xing_jianan_2009,Xing Jianan (邢佳楠),noi_china_bronze,bronze,False,184,89,45,3,36,0.0,0.0,0.6111111111111112
noi_b_xu_lunbo_2009,Xu Lunbo (许伦博),noi_china_bronze,bronze,False,180,92,54,3,36,0.0,0.0,0.6111111111111112
noi_b_wang_sida_2009,Wang Sida (王思达),noi_china_bronze,bronze,False,170,95,52,0,36,0.0,0.0,0.5833333333333334
noi_b_shen_haoquan_2009,Shen Haoquan (申皓全),noi_china_bronze,bronze,False,170,95,55,0,36,0.0,0.0,0.6111111111111112
noi_b_yan_jiabao_2009,Yan Jiabao (闫家宝),noi_china_bronze,bronze,False,167,100,48,4,36,0.0,0.0,0.6666666666666666
noi_b_yan_lifeng_2009,Yan Lifeng (颜立峰),noi_china_bronze,bronze,False,167,100,53,0,36,0.0,0.0,0.6944444444444444
noi_b_li_song_2009,Li Song (李松),noi_china_bronze,bronze,False,166,102,53,0,36,0.0,0.0,0.6388888888888888
noi_b_sun_su_2009,Sun Su (孙溯),noi_china_bronze,bronze,False,165,103,53,1,36,0.0,0.0,0.5555555555555556
